Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
38d35ebf-2520-470c-af69-f845d892ec95	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	9.0000
3904ac57-3daf-4939-8a62-b23698f35c02	44.02%	44.02%	65.36%	65.36%	65.36%	65.36%	N/A	N/A	N/A	N/A	N/A	N/A	197.0000	54.0000
398e4656-6a94-4667-ad99-2b0dee45ca12	-86.96%	-86.96%	46.11%	46.11%	46.11%	46.11%	N/A	N/A	N/A	N/A	N/A	N/A	28.0000	19.0000
39b4e813-b632-467f-b187-47bcfee776ab	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
3a97ecb3-ed5b-4788-aa87-e5b8c9fa7839	38.79%	38.79%	64.47%	64.47%	64.47%	64.47%	53.40%	53.40%	76.26%	76.26%	76.26%	76.26%	203.0000	84.0000
3ae97fa0-d764-4a65-ba1f-2aff9d7fd5b8	-115.46%	-115.46%	6.87%	6.87%	6.87%	6.87%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	5.0000
3b7a167a-c04b-428b-8e2a-15e54d654c9a	-176.04%	-176.04%	11.66%	11.66%	11.66%	11.66%	N/A	N/A	N/A	N/A	N/A	N/A	237.0000	21.0000
3ba21895-0d29-4592-a00d-ac79c0a7dda8	-0.02%	-0.02%	45.56%	45.56%	45.56%	45.56%	N/A	N/A	N/A	N/A	N/A	N/A	89.0000	19.0000
3bbb41fc-e0bb-4840-8f9d-689b2294b84c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
3d64fd16-19f2-457a-96d7-36f56d79ab98	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48.0000	48.0000
3e185ad3-3db6-447e-aad8-bcfd8187a0ce	2.20%	2.20%	42.09%	42.09%	42.09%	42.09%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	37.0000
3e35697d-bac8-4345-82b4-32b8a69c797f	-68.00%	-68.00%	15.03%	15.03%	15.03%	15.03%	N/A	N/A	N/A	N/A	N/A	N/A	16.0000	13.0000
3f694822-77fe-4d41-a2db-b2f269f75a9b	-28.84%	-28.84%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
3fad51df-289e-4707-a4a5-044f90b1a12b	-37.64%	-37.64%	43.62%	43.62%	43.62%	43.62%	N/A	N/A	N/A	N/A	N/A	N/A	65.0000	42.0000
40a14254-4d12-471e-bb9e-202677f88d1b	32.94%	32.94%	59.41%	59.41%	59.41%	59.41%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	37.0000
40f565ec-bd22-47e7-9c4d-9fb9236ff1a3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12.0000	9.0000
43bf89e5-ff19-40b6-b945-44dd6882a78c	54.98%	54.98%	72.99%	72.99%	72.99%	72.99%	N/A	N/A	N/A	N/A	N/A	N/A	56.0000	43.0000
46ead134-72c3-410a-b924-f592faa81018	-8.22%	-8.22%	13.43%	13.43%	13.43%	13.43%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
475f6bf0-5361-433f-8716-e7bcf184dee7	-18.48%	-18.48%	4.78%	4.78%	4.78%	4.78%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	6.0000
4761a83c-d4af-4847-892b-f340b8fcfe06	-10.36%	-10.36%	40.97%	40.97%	40.97%	40.97%	N/A	N/A	N/A	N/A	N/A	N/A	54.0000	41.0000
47e6ac5c-581d-4904-927d-34fb3a219d4b	-2.92%	-2.92%	31.70%	31.70%	31.70%	31.70%	N/A	N/A	N/A	N/A	N/A	N/A	24.0000	10.0000
496e57d6-128a-4b3f-b66b-b524d6582ee8	44.36%	44.36%	72.44%	72.44%	72.44%	72.44%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	15.0000
49a6b0c0-3a6d-4b20-b698-1e91d6d498a6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
49b43550-01f1-44ac-8054-8e3236596d0f	56.87%	56.87%	72.37%	72.37%	72.37%	72.37%	N/A	N/A	N/A	N/A	N/A	N/A	74.0000	53.0000
49cbba5d-7113-468c-a492-1a2b70b77faa	42.92%	42.92%	65.05%	65.05%	65.05%	65.05%	N/A	N/A	N/A	N/A	N/A	N/A	46.0000	16.0000
4b1dbaf9-5154-4396-9439-e546bf58939c	34.01%	34.01%	60.98%	60.98%	60.98%	60.98%	N/A	N/A	N/A	N/A	N/A	N/A	182.0000	97.0000
4b274254-7be1-446f-ac5c-c98ce31faf74	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
4b33f916-5c3d-42fe-8038-95f85eadc79a	22.22%	22.22%	39.32%	39.32%	39.32%	39.32%	N/A	N/A	N/A	N/A	N/A	N/A	83.0000	26.0000
4e317eba-93c0-497f-a773-b92197b81ac4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19.0000	1.0000
503b6c99-e5af-45a3-833e-70ae45280091	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	1.0000
5139f5dc-a6bd-4206-a753-31e7db4bd353	20.97%	20.97%	65.28%	65.28%	65.28%	65.28%	N/A	N/A	N/A	N/A	N/A	N/A	86.0000	58.0000
515d5b9f-7a39-4371-afe7-50f2f62ed911	-7.79%	-7.79%	16.81%	16.81%	16.81%	16.81%	N/A	N/A	N/A	N/A	N/A	N/A	3.0000	0.0000
51c134d8-1e58-44ad-ac8d-b85cc242c672	35.56%	35.56%	54.55%	54.55%	54.55%	54.55%	N/A	N/A	N/A	N/A	N/A	N/A	188.0000	66.0000
522f402b-927b-42f6-acce-b6919d48e30d	54.94%	54.94%	77.44%	77.44%	77.44%	77.44%	N/A	N/A	N/A	N/A	N/A	N/A	61.0000	45.0000
538c6843-e446-4fc1-aeda-9410790c6000	-55.84%	-55.84%	50.22%	50.22%	50.22%	50.22%	N/A	N/A	N/A	N/A	N/A	N/A	39.0000	20.0000
54c77d0f-fc8f-4497-84d3-5e336047b17e	-22.72%	-22.72%	35.34%	35.34%	35.34%	35.34%	N/A	N/A	N/A	N/A	N/A	N/A	30.0000	7.0000
54d6ba84-981c-4f1e-9fd0-137a667c9acb	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
56490baf-dcc3-484a-b876-fbe4931dc543	-1.90%	-1.90%	28.24%	28.24%	28.24%	28.24%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	9.0000
56fe90ca-ff6a-4008-ba8e-0e2dcd8b227c	-119.03%	-119.03%	37.12%	37.12%	37.12%	37.12%	N/A	N/A	N/A	N/A	N/A	N/A	154.0000	5.0000
571befac-9a9c-4e61-8218-96f8e2f27a50	47.28%	47.28%	71.99%	71.99%	71.99%	71.99%	N/A	N/A	N/A	N/A	N/A	N/A	78.0000	46.0000
57bd7f95-eb05-4ba5-a9a2-7cb5202ce07b	-3.69%	-3.69%	47.47%	47.47%	47.47%	47.47%	N/A	N/A	N/A	N/A	N/A	N/A	100.0000	82.0000
581b0172-6e38-4924-b59e-57a2427d51de	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
588b8e51-3029-41c4-b38b-f449feb578f5	-37.94%	-37.94%	41.93%	41.93%	41.93%	41.93%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	36.0000
58cfffbc-6e0e-4b9d-b47d-ff4d78613485	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
5926bab6-2c69-469b-b625-0c9e60389b8c	-129.05%	-129.05%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	0.0000
59acac27-862d-4f26-8905-f5a46a9d53c2	-3.26%	-3.26%	32.41%	32.41%	32.41%	32.41%	N/A	N/A	N/A	N/A	N/A	N/A	18.0000	15.0000
59bf3fe6-615b-468b-bf0d-1267001dc155	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	30.0000	0.0000
5bb08555-b8f1-415e-8af9-4c93b70f0634	-88.14%	-88.14%	7.17%	7.17%	7.17%	7.17%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	11.0000
5c0c1abb-4312-4167-84d0-878a3352653d	-12.32%	-12.32%	30.80%	30.80%	30.80%	30.80%	N/A	N/A	N/A	N/A	N/A	N/A	37.0000	21.0000
5ccbb99a-171c-4817-aeef-50a767da483f	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	4.0000
5d29bea8-fdb1-4cf2-8174-850eb712f7dc	-40.23%	-40.23%	36.54%	36.54%	36.54%	36.54%	N/A	N/A	N/A	N/A	N/A	N/A	65.0000	43.0000
5daebbf3-e7e0-430b-9393-2e89f2d19247	-456.26%	-456.26%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	68.0000	2.0000
5e636e21-1131-404f-8ba3-a45a34fa1a45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	2.0000
5f07d252-3939-4e82-9b77-d5ae0f30ddc2	19.13%	19.13%	66.26%	66.26%	66.26%	66.26%	N/A	N/A	N/A	N/A	N/A	N/A	79.0000	60.0000
